,category_id,nation,views,category_name,publishing_day,publishing_hour,publishing_day_num
13863,25,KR,112996,News & Politics,Thu,16,3
13864,24,KR,41458,Entertainment,Fri,4,4
13865,24,KR,34412,Entertainment,Sat,4,6
13866,24,KR,937962,Entertainment,Sun,12,7
13867,22,KR,86610,People & Blogs,Fri,14,4
13868,24,KR,25809,Entertainment,Fri,8,4
13869,25,KR,132543,News & Politics,Fri,10,4
13870,20,KR,30908,Gaming,Sun,3,7
13871,22,KR,222528,People & Blogs,Sat,11,6
13872,2,KR,15074,Autos & Vehicles,Sat,15,6
13873,24,KR,2035079,Entertainment,Sat,13,6
13874,1,KR,21038,Film & Animation,Sun,9,7
13875,25,KR,191045,News & Politics,Wed,21,2
13876,22,KR,482190,People & Blogs,Sat,12,6
13877,22,KR,1030667,People & Blogs,Wed,18,2
13878,24,KR,42402,Entertainment,Fri,9,4
13879,25,KR,90471,News & Politics,Sat,10,6
13880,24,KR,89168,Entertainment,Sat,8,6
13881,23,KR,2271320,Comedy,Sun,2,7
13882,27,KR,57741,Education,Thu,18,3
13883,22,KR,239236,People & Blogs,Fri,8,4
13884,24,KR,8642998,Entertainment,Mon,2,0
13885,22,KR,485474,People & Blogs,Sat,10,6
13886,1,KR,1294689,Film & Animation,Sun,7,7
13887,24,KR,633943,Entertainment,Sat,13,6
13888,23,KR,1004160,Comedy,Mon,6,0
13889,24,KR,339248,Entertainment,Sun,3,7
13890,15,KR,272203,Pets & Animals,Sun,13,7
13891,25,KR,208901,News & Politics,Mon,7,0
13892,1,KR,1525907,Film & Animation,Sat,6,6
13893,20,KR,1066035,Gaming,Sun,10,7
13894,24,KR,158407,Entertainment,Mon,10,0
13895,27,KR,696296,Education,Sat,4,6
13896,20,KR,151519,Gaming,Mon,8,0
13897,24,KR,254980,Entertainment,Sun,11,7
13898,2,KR,748945,Autos & Vehicles,Sun,12,7
13899,29,KR,151657,Nonprofits & Activism,Mon,8,0
13900,23,KR,249868,Comedy,Mon,7,0
13901,1,KR,614343,Film & Animation,Sat,2,6
13902,25,KR,94447,News & Politics,Mon,8,0
13903,17,KR,4329841,Sports,Mon,3,0
13904,24,KR,190939,Entertainment,Mon,10,0
